Wallet Address,Action,Transaction Hash
GDBFKNZGWEVR75S25RJU7QPI2JQRRLCKNOKMSH7KKB64CFPUJZLR3PZH,Donate 47 XLM,e2f14ed7f14ba9ee1ac39b6ff8454edcb54d0be1949a4aedd246c6c7f34ea5a6
GANO7LTN5LON2YC4VWGDZCGX6NDEGXUXOBXVHESEDM3QHXE5KBITCY7Y,Donate 43 XLM,4ec3191ce9f7a3b3ba5d84ad69d850e186b6d47d3ccbb82245a9b87d2f38349e
GB2OQZQ3I2ISNKL3ODUSBB5LXTDDUHMLOZMZEB75EQJJZ75XGA5YNXNU,Donate 18 XLM,c9546d5de79bb7d38dd05b67801889d5e5f2824a7378a2c31938486a61566ae2
GADZR6YZLGJZ5ELDORIBB7FRORS36JQUJEPPG4VAMQH6LGRXCZTYVCFS,Donate 42 XLM,025426aa2f809b10f07aa874dca47efea876a00082f1090eb7fef29d7a733f4f
GDN3NNEOH36LMFZXVAWDXKILBKT5BKXSGB7IKUYDN6TL7UT2LP7WR5K2,Donate 22 XLM,26fdf5ac8331704a76c1895bceacd53a9d7056d86c40b03d65337063243c112b
GCHFEB5U3XYNFRMY5YUJ5H42W4SOMR64ICJIUOPKTQ7DR5WPITVADIOC,Donate 20 XLM,00906471aa4391e22def1d030be7acc87e4c355d753b0b0e6271860f1059e381
GCKDHCYP6URU7ZLKDFGHDSMUUPSWNDADZCKFGUSKYIGACWWEK4LNESBQ,Donate 48 XLM,604d62d8022f59d938a2ae11920ace15ab4fc9beb5e64331dafa8a50d8e6d608
GBZXQSMRTKMPNSNUJMYEKN2KMD67JOWYVOUZWLZ3LCFFAKFY2YROUH3B,Donate 25 XLM,300641826f26f28bdfcc147a952ddda45bf70c5f4a92a03c4e3dabe97bc76de5
GAZXKQE4SLIQPGSJHDMOOBJA4HOZWDYG57S3FDNV25LGFMPC3MAS6XEW,Donate 17 XLM,fd8617454cc72f89dd07ffd0a95374a553d4857330f36ec8d3c9045e286b6fe2
GD5CGZDKPE64MXLTPRATICGGSA5D4OZQUSTUORROXO2IDUFKO5LRXSUN,Donate 26 XLM,d4f20b73feaeae81bdc73aee8fd68ffee0c454973596b8254759da8d5ae8f3bd
GDKY23TWFG3UO2GJCTZNBEBLZI5J24IXMTB2MDS3XGYAMCEAOIQAO3EY,Donate 31 XLM,924f2adfb083b9880f75b47824e2e3a0bc4ec12352a4ec8a96c3852b6febef03
GBW5PKX2VWX75Z3PANVL5OUUVYNEF5VHGGUZJSG63YNO473262D4TZDS,Donate 22 XLM,4b6d54b173e62049f80dbe9ad590c2b12a793762b0ef11e18a8e9107332d4539
GBOV7PMRGNUSWS6LBD37CS5JOPMLS7YE33DE2KY2YBZERF22TAI7R4EC,Donate 39 XLM,28bdcded9349d43593b7649dadab7767a98426c75ec58d981891d08fec249bd4
GAKJDOXESWXTUGUSBTGPR6OGJ7QWZTGIQ3DP46W4U4QP4GCKBZ34YKXP,Donate 41 XLM,aad30c86ad31d8175be5a6a59ef1c024a2369a3da27abce73a95f2ff9c4f41a2
GADPVNXR6Q6SBOCG7D6O4TJLXAA3WEPKLYZJSX2EBFMPAI4WH2WJBNGX,Donate 23 XLM,25028528f75411441a242855a668268c30d56d20873ddaad23668599ec8fe5d4
GCWJLTCVQWT5UHBSNK7WS3SUSSCWDV324HB6Y2SB4TWSX5DQWUVTGRKX,Donate 30 XLM,01b15a75fbc527d2039f6346ceadf81050bbd0a9c7a7e150f9df0051beba1190
GBIPFBOEALDFTU3IVS2J2NUMTZ3O5KBHRVQUXK2PQP7GJ43E4IETMD4I,Donate 14 XLM,a024798cee0ee497152cd86f06cc78e9bdb33cf4313eae59a20aaa18b2bc2038
GAZSXGYVQKQWS5R2P77PQVLWKEKGI7UKB7CX2SLPZHATIZPCUC7AYXTV,Donate 44 XLM,0fa6aa2ec9e7b26e795d96ccb942fbc7e7fa1ef4c02c18229703694972b78651
GCPDSLP4NWRDVLGE6XWNL5W33HMTAHQEGJTAE5RZ75R5OPSQVQC4LA7H,Donate 29 XLM,e5c1e2b96b3b035c6d253265fd7e150816b57c6247fc90cefa64bab6a04d67d7
GBXNCLYBXEGK6TQPUTSXWTUQ6N3W76M7QWRPGLQPTYHOO4F3R3DR655Q,Donate 12 XLM,2c3f96ec885319739bbe6dadead3ba8940e9884906c41c310271019b11371cda
GATN5ZP4D4PZ7COOXYO2TAXMPLWDPRDHLFURB76WSNFZJVBP3RF2ADGN,Donate 30 XLM,db2de81cccdef4dbc8106f1481c2b5320c35670ad653eb1c0bef8e349e1ffc60
GACTIC6ANNAWKGUT6XL5JHOP63ITCYDH2H7QNDDG4GOSR5ZYUY7RQQRM,Donate 45 XLM,db1377c2969444d767a3a40000f66ba606fdadbd22f3655c30f299a85d342e60
GBHF6XSSFMZ7UN5EQRI5VTRREQVYX6DK2WHXQZFKMLKWJHY7WVGEW76E,Donate 15 XLM,7451528070932302b79e036db47dd055fa5d12366b2b1d21cde9bd4dbd4fe59f
GD2LDFFSELHATGD7PB6ZSPSDNER27FM44TD2ZHILANAAGIJENWXCRCB2,Donate 48 XLM,e6d1b9ec2f7a39392c2ff06ee185f26a70e699f66ccac7748d72beb10f44f9e9
GCIVQNKGTEEKFJXYILPPVFEZNDVHK5LFK2ARY3S4MY3DSVF6J6UPF3KS,Donate 17 XLM,e8cd25593d637d268039eb44307a48978f2cdb3fa823214cf3e617f5637f5334
GDZG45BPY5S3QKM3UY7XL3CJLHI5KC2PRU4ZTCNHBT5I7JLNYCWV6SBP,Donate 32 XLM,048831ce1d2af34ab45de48829bf736415d2e9825e4b5a7ef20606218aeef86c
GAB7YJCUVWT5GIONMUKDN3572CHFGOCF4CGOA7E77K6SOX3MVVORBKA5,Donate 40 XLM,8ca567b69edc64cc636ab2e594daa89487ae329678b19edc34cee3dab23c5b0f
GBVIVDCGBBKYN53NY73T7GUVLRP4CVGNIGR3R3MHR65QADTOCB67MQAB,Donate 39 XLM,e03cf1808ed0520179386c391b860f69ce73aca52692fe1805c2ae40721ba265
GDVQMU3KKSNT7N56JQUXOJ2PYJBQMHFWIJRO2DEDFDTAJ4ATMHCZ3LL2,Donate 30 XLM,726f22517994694c9c5375599798a5c30e923bdaddb8ce364ce8d3c41ed14a32
GBRXEFUKYC3XONABAEP6CUGAJI3QYI7VYSZV3DGD4NGJP2HRGJAASYNA,Donate 36 XLM,9676bc277dbdd479e0c36161ce61b99b5ad0760e54ad29d261c6faa68d09504b
GBFJHG5WOWRVIYVPJ3OU3DCUR2IJENXULKSKLRT35IBOZBHZOBHVAQAB,Donate 47 XLM,0087fd40b84603403b59858ca1538021a48659ca6017d2a2b84f86f0fb2f63eb
GBWDOTCAPJNDTZNVHJNIAZC2Z7M2RZRL3BD5GIYMT6F2JW3Y33K2CDQQ,Donate 39 XLM,e62eb5fc4986b15dce21f36c82a4a0ce6627c0050ceeb42ac87da37651e4ca23
GDCEBHWXXCQWTTAASKCB47CDCOBDLMZ6BTFG36PDWQ522SZZO7KTF7OB,Donate 41 XLM,9e42dbd4f5320760a10a4fbfe727de61595a6b1add952d0665ff86b54ee313b4
GBSZOBBKZOUCHBFGOUPKYG2EBRAPFMMU7SJPENNIAAWMENCFKFWMH4GU,Donate 40 XLM,007c075e0d27f12e3b0d1d5534022428ea3d1a7150c19b6034ae49ffb31a9955
GDERBZPBXY2FQOHEOMQ5HQSVTISYYTXKF74PXYMVZ2VPSPXQB4OOA25O,Donate 22 XLM,226abf0a6a028b71dc9a4ba7bd6ab8b75781f90a508568c8cc765e5f93499cf3
GBBDOFF5QIRW7LYHABJJMX57EOTEQDG3W3M53HSXRC2TUY73BEANU3I6,Donate 36 XLM,43af9a599940ed3bae6086ddab5d9221ac752f8f323f2a2737fa26f40a844764
GAU4L7X5JSTPJDXDRXDIH6JIELWOBCI7CJK2JIM7WTTNV7QKISZ3BN4T,Donate 13 XLM,58461f97978be17ddeb1de7e107c41ed63a63fead31229d85bcfb5d858edf9d2
GAJLD3Z7WUWQFGDX6CBJVOSXRW5HZKEHUJFWBKLOUAD6ORUY532V3LOP,Donate 46 XLM,21df4d6b0f1a93264a25984c06cbe154aa134d6c53e7d15bb714e7a07057881c
GASFA7XIFL3PFPYC3EBACUBUTPPIEBXBJO2QJPH72HNSKZ34AJOBYQH7,Donate 16 XLM,ccb4d829327d87bdab51b159339d029403cb2d62ba070eff9dae8a7f2e673deb
GBXXP5WSCDBSAJUGJBAP4I75WJOLHH7QXSFPO7PI3E5PDRZP4O2T6YSX,Donate 11 XLM,5be81a1e6090fe98d65a6b57b3e3b9405f7a7a9b87e859fa65698f79b28fc20e
GC6M5QPXLUKYYABOR3TDXG7PE27GU6WGFPRVRKH5AEOJCTFPOCSJS7SJ,Donate 28 XLM,066523c199cafee33d9d2aca73efddac46d77f2dc05ad91cdf4be84bcc3d9d05
GAOD2GOSHEQHBHJIM4XAJX3N2CCH7XDL4GYMB7ZS5PRGZ7SAG5YLZWSH,Donate 45 XLM,7f497cc1686dcf84931574bb554cc8c03807125145d0e33465a54058b99d50f6
GAAYGVR3OSWSCFIIND5U7CFQZL4GI5IEUK7JA5GIGWJOD2SG7TVQRM3B,Donate 45 XLM,602301ec7d848e6deb8dda71de92dadcc9fd29e4d6311eaf86f53127807daaf2
GA23I4IZEDD5Q2GGVCULBY666NCGZWO4WCIQEHJCNHDWO5L27SPHCFSU,Donate 37 XLM,61675217fc4b1dfbb309f6edfe99c95f43f1a860743feb9f06f00ecbcde6e895
GA2IHJ2PAWADCOKD577JT2W3HVOA4PBOMLNOHIKAJ56DF73V6EK42REV,Donate 41 XLM,df00da886dadb8f964faa4b3895d010ad52d13815cacb8aaccb09f2eb00ae75c
GBWDN3ID3RG77RAEYK2V46PBNSU6WIJX54C3KGEBCWZYWFTZWWHBRGZQ,Donate 32 XLM,3a53927b526eb584e89b55b42ad202d9f6a21a9437e52ce2e32dde03d7438b02
GBL6TAWTIXZ3ZT2YZ4I7JPCB4QNTPAG7JXMSQMNSOIAJCC3X6CO4IOAU,Donate 43 XLM,be904f0ea639ff1360c2f70305cace1229665674a1501c0658bdc1137162abf7
GDXSH2HAOXMI33AM4DHN3QZLWYNCXFSG4IR5YKE4X27KLJMYCVU6TWK7,Donate 33 XLM,3ebde88e78b7e8adbb844f071cfe9d5e96ce740462e856cdcc8a7a6d8f996003
GDBAQYBTI7VLMNL7T2CNLB5YA5FGZNAOJH7NRMND3DSF6WKBPKHDJ44B,Donate 34 XLM,04391da9f70f838c0529ea1446cab3cf3fa0de87c6b6268df89af6ad48dbef14
GBQVGOOVPP4NSH3M2RKQ3IR3K367WRJAQ42TJSCHMMXRQTPZJKRC2J7X,Donate 21 XLM,77109b338a81f7f2090e17ec925ab36e898058c387415972b73798938f7440fe
GBYUYMI5ZLV2AARBSXXHQY6I3VGH32WAROXGQZWJNPEUKOINUDALPN7A,Donate 37 XLM,8a1dc1309c0e197b05f6a79e1aa53f2f7f6f823e681728977f612823833b6f96
GCZOWONLUH53VYPU6LNHNGGRNN6SSC5TYJTSL6ZLPOT7YQ3K2IHP5KCE,Donate 24 XLM,3ddfc81db3885e5aebe7812cab43ab9935d0f7e4614bdb2b96367c49f00b7f79
GCZQANB4Y7MZMXVLX4EYYNDXWR52Y46JAIV2CDSHXIYMAAWDT5ZMQXIZ,Donate 21 XLM,987605926791b62ba57451ad8d0edafe394fd77cd20f32ac0baab72c06ca253a
GB7U6LYLM2P6AHNVLYJ5BPP443I4M2BFXPYJSNPUCWZQYG32ZMNB2UHC,Donate 48 XLM,074f805fc41752f230a0dc072cc83e73fb4f55089c74af4a714670b085ee4aed
GBCCQDHPVRRLNDRRQABYOUV6RSQVXFFZRYUJ2KGPW474H6TTMCEW5FHB,Donate 27 XLM,b6796a4d83b914affc3495c1bfec69198ee1e9d4ef0723c942699d8f1a06850a
GC6FBPIF6P7VNYN52BZJBYTBLCE7HP3IVEOH76FH374LTWUUMQ2BULTW,Donate 23 XLM,b98ecd52b7d9f524cc017c3b79acb15613f0fffe3a12ce76fcf2482e6e6070e3
GBYFAR77VIXXILYMBFCXYJ4J2IHOEKTCVOPEWWZ2ZZ2VZH5EGLNJHXYF,Donate 38 XLM,11d19b04c03ae17dfe291c065c4c2e026bccc8afef1e2449f7d50a322282b5bf
GA5NPTL5BTURJCUK2COUGEKBOT5PNG3X4GXFAKZVMWVN55PTMRUE6WID,Donate 33 XLM,bc2bd121477376cd0c927c4d324e33f1e25c1ef6e8fa8de8061a27f2abeb5f44
GCT3OVCN2GMFZH2LCYM6KRBPDMAJHXCNIDP73OSITG7C3FWYMM7MNDSD,Donate 35 XLM,781fc71a6cb57ee29873c6bf8c29e1d77439d5d0a13e5f1f5c3a4a1e5b39da9f
GDGRG5PAE5RGDBC5OPVDXJCQPKKSLPOGA5WTWRETMVPNKHXJI7GWFHRL,Donate 30 XLM,013c3d28a44146fb7f55f657217a4492b2b61759ab808f6b94fde7813a73d803
GDUMAPCKJN3SDIJNIYRD4RWWV7HYMLW4VWXTB7BHP7HXE6RVW6CNYMKG,Donate 44 XLM,0388c345780fed3595d917f99b6bd8f28887e1f88e1a0f857b0816d5774166e1
GA2DMLMT7C2DN2O34ZRMRSTZ6IP6GUEFX2WT5NADKDCY3HVZNKQ742TH,Donate 33 XLM,148b43494c32ac23ea42a4b2d8a0a167f9b6ffc7a0bd548e90f363b64daaea09
GAWHR6CDSPVCK4DEV34S3FAYYT7R6GEOGV2ILMMGGQ4ILT3C6ANPXO32,Donate 45 XLM,c59f882f9fd4711386bc6be64c79a2b8b269234b3e1a590cbda2272e003a68d5
GB7FD6OUK3IUEIXDYYGMPI2DGNO5ETUSCFYJGOGXTT7QVU2B7J3YEYGC,Donate 17 XLM,56c9cbb3dcecd6fe87cab7b8db16601d71ca5333ed737dc5d29551cb05f9d080
GCF5DSHGXQA7BMPALJM4A2IA4AA4G6WY5AJX7WRQ7ZE24BU5MVDHETK7,Donate 42 XLM,283b67f450a82bbd7ac4af49088326761b695ba97cb13070447495fee2db1dbc
GDFGUA5QUEQBDNGZSPA5VCCMCUDWFNRQ7DRMTIJQXUGS5ANKBL4BA6R3,Donate 33 XLM,e4fe98ddd6bf9ec65c52afa38f41cb65bc6a291105c7d34ac369a6137d0a706d
GB5YDHC3C7OJIBETR7DWJ3UMW3G7WWM4XWZBQMCMLEU5W46M5PTPQ6NI,Donate 33 XLM,7eaa52a416d2f2ce634e60e3347dfeff0a16990efd6f694b41206015f628f4d4
GDJZ6SB7E3VZYGKUAGILJ6EJ6Z3OUPGRGSJORSWPUXHN6JIJFNIGKSNC,Donate 41 XLM,b7ce89f3277e6512f192b57d35ccf77a97edc758a5ac62c461a7e20264babe21
GDIAP27EIEBYSD76DXBGCRNWPGHAEXW5LL3KWMMHHHF627SGILL57SYW,Donate 16 XLM,552e1ad5a91d2ddf93cd8039aa0893768f239536bd7bbf64386df26701beebef
GCANVOICZ7NEP724IKKEGPDBVXHHAOGI3GZOFTSFZCPIMKMZPUQORNBK,Donate 18 XLM,f0d34dfd54bda1302e62806d118b7d10f8cf7ba18facf39237018cf4963e8024
GDC2BFMPTOCE2T7GRTKDGYG5UIUNKF2FBJNTWATVRCJ25WBG2LSGIAYE,Donate 30 XLM,7136478ee9174a3e7d08852acf0056c092d58a01ca0502b51fab68b98ca01d33
GC5FVAI7RHVGPTPJHMG5NLRA7KKJVTVPYHZXR2V5MFUCRQKSKN7RXTW3,Donate 29 XLM,3b59ea7341f9e77745ba4c0773f157629ab6e00d905d1741ff732291a7b189a8
GCBNDSTX4W7ILLTFFOZRCYKNSM2PYYIQXMPY5MXFNTZJ3FHMLPXXFN6R,Donate 21 XLM,1f247e3888f3e9d6ecce412af962fc39423ba9c773d40e070d80762f14b1d5a3
GD2733FGFDAMUMXLC72BKTE5SD64EM2HGFRJM6OOCFYIDHKXK2UCRW5C,Donate 13 XLM,14c3d472fbd5329ff75857e3bc71c5149248c24bd3271450c328fdb4dddf51e0
